Capacity (mAh),Voltage (V)
1134.020618556701,3.7467866323907457
1140.893470790378,3.7467866323907457
1147.7663230240548,3.7467866323907457
1154.639175257732,3.7467866323907457
1161.5120274914088,3.7467866323907457
1168.3848797250857,3.7467866323907457
1175.2577319587629,3.7403598971722367
1182.1305841924398,3.7339331619537277
1189.0034364261167,3.7339331619537277
1195.8762886597938,3.7339331619537277
1202.7491408934707,3.7339331619537277
1209.6219931271478,3.7339331619537277
1216.4948453608247,3.7339331619537277
1223.3676975945016,3.7275064267352187
1230.2405498281787,3.7275064267352187
1237.1134020618556,3.7275064267352187
1243.9862542955325,3.7210796915167097
1250.8591065292096,3.7210796915167097
1257.7319587628865,3.7210796915167097
1264.6048109965634,3.7210796915167097
1271.4776632302405,3.7210796915167097
1278.3505154639174,3.7146529562982007
