Capacity (mAh),Voltage (V),State of Charge
756.0137457044673,3.8624678663239074,0.7839960726558665
762.8865979381443,3.8624678663239074,0.7820324005891016
769.7594501718213,3.8624678663239074,0.7800687285223368
776.6323024054982,3.8560411311053984,0.7781050564555719
783.5051546391752,3.84961439588689,0.7761413843888071
790.3780068728522,3.84961439588689,0.7741777123220422
797.2508591065291,3.84961439588689,0.7722140402552774
804.1237113402061,3.84961439588689,0.7702503681885126
810.9965635738831,3.843187660668381,0.7682866961217477
817.8694158075601,3.836760925449872,0.7663230240549828
824.742268041237,3.836760925449872,0.764359351988218
831.615120274914,3.836760925449872,0.7623956799214531
838.487972508591,3.836760925449872,0.7604320078546882
845.3608247422679,3.830334190231363,0.7584683357879234
852.233676975945,3.830334190231363,0.7565046637211585
859.106529209622,3.823907455012854,0.7545409916543937
