time,riedon.riedon_current_mA,bms.pack_voltage_V
2025-11-22 13:38:22.499,72.484,134.4521
2025-11-22 13:38:22.999,72.484,134.4507
2025-11-22 13:38:23.503,72.484,134.45
2025-11-22 13:38:23.998,72.484,134.4487
2025-11-22 13:38:24.498,72.484,134.4476
2025-11-22 13:38:25.000,72.484,134.4469
2025-11-22 13:38:25.498,72.484,134.4458
2025-11-22 13:38:25.999,72.484,134.4434
2025-11-22 13:38:26.498,72.484,134.4434
2025-11-22 13:38:26.999,72.484,134.442
2025-11-22 13:38:27.499,72.484,134.4402
2025-11-22 13:38:27.998,72.484,134.4404
2025-11-22 13:38:28.499,72.484,134.4382
2025-11-22 13:38:28.998,72.484,134.4383
2025-11-22 13:38:29.500,72.484,134.4369
2025-11-22 13:38:30.000,72.484,134.4373
2025-11-22 13:38:30.499,72.484,134.4353
2025-11-22 13:38:31.000,72.484,134.4342
2025-11-22 13:38:31.500,72.484,134.4335
2025-11-22 13:38:31.998,72.484,134.4329
2025-11-22 13:38:32.500,72.484,134.4317
2025-11-22 13:38:33.001,72.484,134.4293
2025-11-22 13:38:33.499,72.484,134.4287
2025-11-22 13:38:34.000,72.484,134.4277
2025-11-22 13:38:34.499,72.484,134.4261
2025-11-22 13:38:34.999,72.484,134.4259
2025-11-22 13:38:35.502,72.484,134.4249
2025-11-22 13:38:35.999,72.484,134.4241
2025-11-22 13:38:36.498,72.484,134.4227
2025-11-22 13:38:37.002,72.484,134.4212
2025-11-22 13:38:37.498,72.484,134.4208
2025-11-22 13:38:37.998,72.484,134.4201
2025-11-22 13:38:38.503,72.484,134.4175
2025-11-22 13:38:38.999,72.484,134.4171
2025-11-22 13:38:39.499,72.484,134.4164
2025-11-22 13:38:39.998,72.484,134.4142
2025-11-22 13:38:40.499,72.484,134.414
2025-11-22 13:38:40.999,72.484,134.4124
2025-11-22 13:38:41.500,72.484,134.4115
2025-11-22 13:38:41.998,72.484,134.4113
2025-11-22 13:38:42.501,72.484,134.4103
2025-11-22 13:38:43.000,72.484,134.4092
2025-11-22 13:38:43.498,72.484,134.4083
2025-11-22 13:38:44.001,72.484,134.4073
2025-11-22 13:38:44.500,72.484,134.4048
2025-11-22 13:38:44.998,72.484,134.4044
2025-11-22 13:38:45.501,72.484,134.4025
2025-11-22 13:38:45.998,72.484,134.4019
2025-11-22 13:38:46.498,72.484,134.4025
2025-11-22 13:38:47.001,72.484,134.402
2025-11-22 13:38:47.500,72.484,134.3998
2025-11-22 13:38:47.999,72.484,134.3988
2025-11-22 13:38:48.499,72.484,134.3984
2025-11-22 13:38:48.998,72.484,134.3967
2025-11-22 13:38:49.500,72.484,134.3955
2025-11-22 13:38:49.999,72.484,134.3948
2025-11-22 13:38:50.498,72.484,134.3924
2025-11-22 13:38:50.999,72.484,134.3906
2025-11-22 13:38:51.499,72.484,134.3912
2025-11-22 13:38:51.998,72.484,134.3897
2025-11-22 13:38:52.499,72.484,134.3894
2025-11-22 13:38:52.998,72.484,134.388
2025-11-22 13:38:53.498,72.484,134.3869
2025-11-22 13:38:53.999,72.484,134.386
2025-11-22 13:38:54.498,72.484,134.3845
2025-11-22 13:38:54.998,72.484,134.3839
2025-11-22 13:38:55.499,72.484,134.3834
2025-11-22 13:38:55.999,72.484,134.3812
2025-11-22 13:38:56.498,72.484,134.3808
2025-11-22 13:38:56.998,72.484,134.3797
2025-11-22 13:38:57.498,72.484,134.3789
2025-11-22 13:38:58.000,72.484,134.3767
2025-11-22 13:38:58.500,72.484,134.3769
2025-11-22 13:38:58.999,72.484,134.3757
2025-11-22 13:38:59.500,72.484,134.3756
2025-11-22 13:39:00.001,72.484,134.3732
2025-11-22 13:39:00.498,72.484,134.3716
2025-11-22 13:39:00.998,72.484,134.3702
2025-11-22 13:39:00.998,72.484,134.3702
2025-11-22 13:39:01.499,72.484,134.3701
2025-11-22 13:39:01.998,72.484,134.3694
2025-11-22 13:39:02.498,72.484,134.3684
2025-11-22 13:39:02.999,72.484,134.3673
2025-11-22 13:39:03.498,72.484,134.366
2025-11-22 13:39:04.000,72.484,134.3457
2025-11-22 13:39:04.499,72.484,134.357
2025-11-22 13:39:04.998,72.484,134.3561
